Path,Latency (s),Noise Power (W),SNR (dB)
A->D->E->F->B,0.001903943276465977,380.7886552931954,-55.80684001117487
A->C->D->F->B,0.0023717082451262844,474.3416490252569,-56.76091259055681
A->D->F->B,0.001903943276465977,380.7886552931954,-55.80684001117487
A->C->E->D->F->B,0.0023717082451262844,474.3416490252569,-56.76091259055681
A->C->D->B,0.0023717082451262844,474.3416490252569,-56.76091259055681
A->C->E->F->D->B,0.0023717082451262844,474.3416490252569,-56.76091259055681
A->C->E->F->B,0.0023717082451262844,474.3416490252569,-56.76091259055681
A->D->C->E->F->B,0.001903943276465977,380.7886552931954,-55.80684001117487
A->B,0.0017677669529663686,353.5533905932738,-55.48455006504028
A->C->E->D->B,0.0023717082451262844,474.3416490252569,-56.76091259055681
A->C->D->E->F->B,0.0023717082451262844,474.3416490252569,-56.76091259055681
A->D->B,0.001903943276465977,380.7886552931954,-55.80684001117487
A->B->D->E->C,0.0017677669529663686,353.5533905932738,-55.48455006504028
A->B->D->F->E->C,0.0017677669529663686,353.5533905932738,-55.48455006504028
A->B->F->E->D->C,0.0017677669529663686,353.5533905932738,-55.48455006504028
A->D->C,0.001903943276465977,380.7886552931954,-55.80684001117487
A->D->B->F->E->C,0.001903943276465977,380.7886552931954,-55.80684001117487
A->D->E->C,0.001903943276465977,380.7886552931954,-55.80684001117487
A->C,0.0023717082451262844,474.3416490252569,-56.76091259055681
A->B->F->E->C,0.0017677669529663686,353.5533905932738,-55.48455006504028
A->D->F->E->C,0.001903943276465977,380.7886552931954,-55.80684001117487
A->B->F->D->C,0.0017677669529663686,353.5533905932738,-55.48455006504028
A->B->D->C,0.0017677669529663686,353.5533905932738,-55.48455006504028
A->B->F->D->E->C,0.0017677669529663686,353.5533905932738,-55.48455006504028
A->C->D,0.0023717082451262844,474.3416490252569,-56.76091259055681
A->C->E->D,0.0023717082451262844,474.3416490252569,-56.76091259055681
A->B->F->D,0.0017677669529663686,353.5533905932738,-55.48455006504028
A->C->E->F->B->D,0.0023717082451262844,474.3416490252569,-56.76091259055681
A->B->D,0.0017677669529663686,353.5533905932738,-55.48455006504028
A->D,0.001903943276465977,380.7886552931954,-55.80684001117487
A->B->F->E->D,0.0017677669529663686,353.5533905932738,-55.48455006504028
A->C->E->F->D,0.0023717082451262844,474.3416490252569,-56.76091259055681
A->B->F->E->C->D,0.0017677669529663686,353.5533905932738,-55.48455006504028
A->D->E,0.001903943276465977,380.7886552931954,-55.80684001117487
A->C->E,0.0023717082451262844,474.3416490252569,-56.76091259055681
A->C->D->F->E,0.0023717082451262844,474.3416490252569,-56.76091259055681
A->B->D->F->E,0.0017677669529663686,353.5533905932738,-55.48455006504028
A->D->F->E,0.001903943276465977,380.7886552931954,-55.80684001117487
A->B->F->D->E,0.0017677669529663686,353.5533905932738,-55.48455006504028
A->C->D->E,0.0023717082451262844,474.3416490252569,-56.76091259055681
A->C->D->B->F->E,0.0023717082451262844,474.3416490252569,-56.76091259055681
A->B->D->E,0.0017677669529663686,353.5533905932738,-55.48455006504028
A->B->F->E,0.0017677669529663686,353.5533905932738,-55.48455006504028
A->D->C->E,0.001903943276465977,380.7886552931954,-55.80684001117487
A->B->F->D->C->E,0.0017677669529663686,353.5533905932738,-55.48455006504028
A->D->B->F->E,0.001903943276465977,380.7886552931954,-55.80684001117487
A->B->D->C->E,0.0017677669529663686,353.5533905932738,-55.48455006504028
A->D->C->E->F,0.001903943276465977,380.7886552931954,-55.80684001117487
A->C->E->D->B->F,0.0023717082451262844,474.3416490252569,-56.76091259055681
A->C->D->F,0.0023717082451262844,474.3416490252569,-56.76091259055681
A->B->D->C->E->F,0.0017677669529663686,353.5533905932738,-55.48455006504028
A->C->E->F,0.0023717082451262844,474.3416490252569,-56.76091259055681
A->B->D->F,0.0017677669529663686,353.5533905932738,-55.48455006504028
A->C->E->D->F,0.0023717082451262844,474.3416490252569,-56.76091259055681
A->C->D->E->F,0.0023717082451262844,474.3416490252569,-56.76091259055681
A->B->D->E->F,0.0017677669529663686,353.5533905932738,-55.48455006504028
A->D->E->F,0.001903943276465977,380.7886552931954,-55.80684001117487
A->B->F,0.0017677669529663686,353.5533905932738,-55.48455006504028
A->D->F,0.001903943276465977,380.7886552931954,-55.80684001117487
A->C->D->B->F,0.0023717082451262844,474.3416490252569,-56.76091259055681
A->D->B->F,0.001903943276465977,380.7886552931954,-55.80684001117487
B->D->A,0.00206155281280883,412.31056256176606,-56.15224460689137
B->F->E->C->A,0.002136000936329383,427.2001872658766,-56.30631434396247
B->D->E->C->A,0.00206155281280883,412.31056256176606,-56.15224460689137
B->F->D->C->A,0.002136000936329383,427.2001872658766,-56.30631434396247
B->F->E->C->D->A,0.002136000936329383,427.2001872658766,-56.30631434396247
B->F->E->D->A,0.002136000936329383,427.2001872658766,-56.30631434396247
B->F->D->A,0.002136000936329383,427.2001872658766,-56.30631434396247
B->A,0.0017677669529663686,353.5533905932738,-55.48455006504028
B->D->C->A,0.00206155281280883,412.31056256176606,-56.15224460689137
B->F->E->D->C->A,0.002136000936329383,427.2001872658766,-56.30631434396247
B->F->D->E->C->A,0.002136000936329383,427.2001872658766,-56.30631434396247
B->D->F->E->C->A,0.00206155281280883,412.31056256176606,-56.15224460689137
B->F->D->A->C,0.002136000936329383,427.2001872658766,-56.30631434396247
B->D->E->C,0.00206155281280883,412.31056256176606,-56.15224460689137
B->D->C,0.00206155281280883,412.31056256176606,-56.15224460689137
B->F->E->C,0.002136000936329383,427.2001872658766,-56.30631434396247
B->A->D->F->E->C,0.0017677669529663686,353.5533905932738,-55.48455006504028
B->D->A->C,0.00206155281280883,412.31056256176606,-56.15224460689137
B->F->E->D->C,0.002136000936329383,427.2001872658766,-56.30631434396247
B->D->F->E->C,0.00206155281280883,412.31056256176606,-56.15224460689137
B->A->D->C,0.0017677669529663686,353.5533905932738,-55.48455006504028
B->A->D->E->C,0.0017677669529663686,353.5533905932738,-55.48455006504028
B->F->D->C,0.002136000936329383,427.2001872658766,-56.30631434396247
B->F->E->D->A->C,0.002136000936329383,427.2001872658766,-56.30631434396247
B->A->C,0.0017677669529663686,353.5533905932738,-55.48455006504028
B->F->D->E->C,0.002136000936329383,427.2001872658766,-56.30631434396247
B->A->D,0.0017677669529663686,353.5533905932738,-55.48455006504028
B->A->C->E->F->D,0.0017677669529663686,353.5533905932738,-55.48455006504028
B->A->C->D,0.0017677669529663686,353.5533905932738,-55.48455006504028
B->F->D,0.002136000936329383,427.2001872658766,-56.30631434396247
B->D,0.00206155281280883,412.31056256176606,-56.15224460689137
B->F->E->C->A->D,0.002136000936329383,427.2001872658766,-56.30631434396247
B->F->E->D,0.002136000936329383,427.2001872658766,-56.30631434396247
B->F->E->C->D,0.002136000936329383,427.2001872658766,-56.30631434396247
B->A->C->E->D,0.0017677669529663686,353.5533905932738,-55.48455006504028
B->F->D->C->E,0.002136000936329383,427.2001872658766,-56.30631434396247
B->D->E,0.00206155281280883,412.31056256176606,-56.15224460689137
B->A->C->D->F->E,0.0017677669529663686,353.5533905932738,-55.48455006504028
B->F->D->A->C->E,0.002136000936329383,427.2001872658766,-56.30631434396247
B->F->D->E,0.002136000936329383,427.2001872658766,-56.30631434396247
B->A->C->D->E,0.0017677669529663686,353.5533905932738,-55.48455006504028
B->A->D->E,0.0017677669529663686,353.5533905932738,-55.48455006504028
B->D->A->C->E,0.00206155281280883,412.31056256176606,-56.15224460689137
B->A->C->E,0.0017677669529663686,353.5533905932738,-55.48455006504028
B->F->E,0.002136000936329383,427.2001872658766,-56.30631434396247
B->A->D->F->E,0.0017677669529663686,353.5533905932738,-55.48455006504028
B->D->C->E,0.00206155281280883,412.31056256176606,-56.15224460689137
B->D->F->E,0.00206155281280883,412.31056256176606,-56.15224460689137
B->A->D->C->E,0.0017677669529663686,353.5533905932738,-55.48455006504028
B->A->C->D->F,0.0017677669529663686,353.5533905932738,-55.48455006504028
B->A->D->E->F,0.0017677669529663686,353.5533905932738,-55.48455006504028
B->A->D->F,0.0017677669529663686,353.5533905932738,-55.48455006504028
B->F,0.002136000936329383,427.2001872658766,-56.30631434396247
B->A->C->D->E->F,0.0017677669529663686,353.5533905932738,-55.48455006504028
B->D->A->C->E->F,0.00206155281280883,412.31056256176606,-56.15224460689137
B->D->E->F,0.00206155281280883,412.31056256176606,-56.15224460689137
B->A->D->C->E->F,0.0017677669529663686,353.5533905932738,-55.48455006504028
B->D->F,0.00206155281280883,412.31056256176606,-56.15224460689137
B->A->C->E->D->F,0.0017677669529663686,353.5533905932738,-55.48455006504028
B->A->C->E->F,0.0017677669529663686,353.5533905932738,-55.48455006504028
B->D->C->E->F,0.00206155281280883,412.31056256176606,-56.15224460689137
C->D->E->F->B->A,0.0018027756377319946,360.5551275463989,-55.56971676153418
C->E->F->B->A,0.0017677669529663686,353.5533905932738,-55.48455006504028
C->D->F->B->A,0.0018027756377319946,360.5551275463989,-55.56971676153418
C->A,0.0023717082451262844,474.3416490252569,-56.76091259055681
C->E->F->D->A,0.0017677669529663686,353.5533905932738,-55.48455006504028
C->D->B->A,0.0018027756377319946,360.5551275463989,-55.56971676153418
